names,scores,logfoldchanges,pvals,pvals_adj
CLGN,-1.4168097,-2.2787566,0.15653857604984964,0.5984743492856394
LINC00884,-1.4171561,-2.4966204,0.15643729738322365,0.5981751316427494
PHGR1,-1.4173293,-1.1890084,0.15638667669021988,0.5980497563097599
CTU2,-1.4173726,-0.32482082,0.15637402345840867,0.5980497563097599
DYSF,-1.4176323,0.018337768,0.1562981203737909,0.5978474408184534
SNED1,-1.4178056,-0.08769547,0.15624753384538545,0.5977221159012818
SETD5,-1.4182385,-1.2148602,0.15612112186121876,0.5973066603903211
HEG1,-1.4186283,-0.008456855,0.15600741742834143,0.5969397336807433
DHX33,-1.4193643,-0.634912,0.15579281383348248,0.5961866031888791
SYDE1,-1.4195375,-0.2886209,0.15574235144222345,0.5960615066380567
C11orf74,-1.4196242,-1.0894107,0.1557171248986667,0.59603297590179
KDM6B,-1.4201871,0.19063027,0.15555322794690443,0.595473594211081
AC012615.1,-1.42075,-1.4039598,0.15538946196493522,0.5949145862305932
BCAR3,-1.4210098,-0.844454,0.15531392182419565,0.594693265228893
PGR,-1.4213562,-0.85893595,0.15521324500833986,0.5944238162332157
DLEU2,-1.4214427,-1.186667,0.1551880835480567,0.5944150235306904
FAM110C,-1.421616,-1.5741807,0.15513776991855913,0.5942901801860235
CLBA1,-1.4221789,-0.5360728,0.1549743361611038,0.5937319266816425
ZNF180,-1.4222654,-1.5469222,0.15494920411537175,0.593703462540996
EMSY,-1.4224819,-0.60709924,0.1548863875423691,0.5935305833404908
ZNF160,-1.4235212,-0.0010436666,0.15458513718423178,0.5924438728013673
S1PR2,-1.4237376,-0.536611,0.15452243275485839,0.5922712399694218
FAAH2,-1.4238676,-2.8017888,0.15448481937335704,0.5921947505021886
CREB1,-1.4242139,0.052974727,0.1543845510294709,0.5918780375430264
NAGPA,-1.4244738,-0.18781352,0.15430938222682813,0.591657489553374
AP3S2,-1.4244738,-0.9564174,0.15430938222682813,0.591657489553374
FEM1C,-1.4245603,-0.97372377,0.15428433214020623,0.591657489553374
RNASE1,-1.4246902,0.07353241,0.15424676280422653,0.5916203031711058
FAM83G,-1.4248202,-0.8468394,0.15420920042041047,0.5915438823858774
PNMA8A,-1.4251232,-1.1241841,0.1541215818906977,0.5912754076241384
ADGRL4,-1.4251665,-0.16363542,0.15410906804695831,0.5912754076241384
CCDC66,-1.4252532,-0.7891571,0.15408404267604525,0.5912666617012822
ING1,-1.4261191,-0.70023364,0.15383395880757994,0.5903745635071079
ECSCR,-1.4261625,0.11657627,0.15382146271823977,0.5903745635071079
ZNF34,-1.426379,-0.8630326,0.1537589938456525,0.5902219452438472
ADAMTS4,-1.426379,-0.1725354,0.1537589938456525,0.5902219452438472
SLCO2B1,-1.4265522,0.074327946,0.15370903263506486,0.590165258902668
ZNF264,-1.4269851,-1.1282377,0.1535841836047284,0.5897534176477423
SLC46A3,-1.4272882,-0.59886813,0.1534968351701077,0.5894854984467047
MSTO1,-1.4273748,0.0982182,0.15347188541395207,0.5894571796854242
KIF21B,-1.4277213,-1.1287365,0.15337211722583077,0.5891414577390806
HOXB3,-1.4277645,-0.07895816,0.15335964967102167,0.5891414577390806
TSPAN7,-1.427981,-0.34736156,0.1532973234576304,0.5889890748220883
WDR7,-1.4281975,-0.9512744,0.1532350165097707,0.5888171383712981
PVR,-1.4284573,-1.2278289,0.1531602735985666,0.5885973709119658
DDX10,-1.4287171,0.027659858,0.1530855584201098,0.5883776596715152
SPATA33,-1.42928,-0.024391593,0.1529237706471704,0.5878231999959658
ZNF397,-1.4293233,-2.1505373,0.15291133082379374,0.5878231999959658
AHCYL2,-1.4300594,-1.1746389,0.15269997159632215,0.5870975177573601
JAM3,-1.4304491,-0.36393178,0.15258816556845067,0.5867349113545859
TCF19,-1.4304491,-0.68086183,0.15258816556845067,0.5867349113545859
SRBD1,-1.4304924,-1.1645744,0.1525757465229646,0.5867349113545859
SAP25,-1.4306223,-0.08303819,0.15253849400167271,0.5867349113545859
AC010329.1,-1.4309686,-2.0634682,0.1524391877851586,0.5864310025164774
SERAC1,-1.4310553,-2.7984142,0.15241436892094312,0.58640278821505
ITCH,-1.4311852,-0.7553179,0.15237714639126254,0.5863268397969439
CDK9,-1.4311852,0.06981588,0.15237714639126254,0.5863268397969439
ZNF43,-1.4315315,-0.33023727,0.15227792013843494,0.5860795140696387
LAMTOR4,-1.431878,-0.23991792,0.15217874307764195,0.5857650275838352
MIR29B2CHG,-1.4319646,-1.6109381,0.1521539564972353,0.585736844927029
CCDC51,-1.4321811,-0.7596962,0.15209200349246818,0.5855655622925494
PUDP,-1.4330903,-1.547661,0.15183201057172455,0.5846316843346151
ANKRD13C,-1.4333069,-0.32429454,0.15177015740734806,0.5844606199480582
ZC3H10,-1.4337832,-0.5905643,0.15163414799234745,0.5840039108138895
LILRB2,-1.4339997,-0.32089475,0.15157235622714801,0.5838329715339485
CKAP2,-1.4341296,-0.5537419,0.1515352903750183,0.5837572442680179
MTRF1L,-1.434779,-0.9646008,0.15135006466767117,0.583110679933872
NABP1,-1.435212,0.11208685,0.15122667671689,0.5827022384801306
FAM171B,-1.4354719,-1.3774433,0.15115268074224983,0.582484040759919
BDKRB2,-1.4356451,-1.3259175,0.1511033654208168,0.5823609135237133
SLC25A53,-1.4358183,-1.6706095,0.1510540623602144,0.5822378052450145
C6orf120,-1.4360348,-0.19879249,0.15099245077386328,0.5820672200061869
MEIS3,-1.4361213,-0.5255315,0.15096781150206273,0.5820391380797999
TUBA4A,-1.436511,-0.0034948539,0.15085697269471351,0.5816786790337205
FOCAD,-1.436511,-0.39588648,0.15085697269471351,0.5816786790337205
SLC35D1,-1.4366843,-0.21159045,0.15080773091471275,0.5816225482310989
PARP11,-1.4366843,-1.191784,0.15080773091471275,0.5816225482310989
UBA52,-1.4368575,-0.2788963,0.1507585013861194,0.5815664388644666
BNIP1,-1.4370307,-0.40552434,0.15070928410736179,0.5814434568494995
EDARADD,-1.4373337,-0.9641412,0.15062318334097438,0.5811781319477219
NETO2,-1.4376369,-0.9312305,0.15053712007646616,0.5809128907058477
TMEM45B,-1.4377234,-4.898208,0.15051253745924142,0.580884865513008
TOP3A,-1.4377234,-1.4099048,0.15051253745924142,0.580884865513008
ZBED4,-1.4391091,-0.20792034,0.15011963167687012,0.5795018654671812
DHRS12,-1.4391091,-0.10134411,0.15011963167687012,0.5795018654671812
GLCE,-1.4391524,-0.8074486,0.1501073659869084,0.5795018654671812
TRIT1,-1.439542,-0.2894462,0.14999700916829636,0.5792285196875445
KANK1,-1.4403214,-2.270317,0.14977648118681494,0.5784435313269691
RNF166,-1.4403647,0.14789079,0.14976423688824872,0.5784435313269691
LGR4,-1.4405379,0.3748147,0.14971526732994536,0.5783403174051724
GPR132,-1.4407111,-0.16608332,0.14966630998799704,0.5782177979930243
DHX57,-1.4413606,-1.1172683,0.14948282873063992,0.5775754734986408
MRE11,-1.4414473,-0.1884458,0.14945837753671481,0.577547536101664
KMT2E,-1.4421834,0.46140948,0.14925066559350303,0.5768113416311252
FZD4,-1.4432658,-0.3395158,0.1489456071752355,0.5756987176954071
MHENCR,-1.4437854,0.23721637,0.14879934831451927,0.5751996938419026
SCAMP1-AS1,-1.4437854,-0.7411874,0.14879934831451927,0.5751996938419026
CEP192,-1.4442184,-0.21819873,0.14867754971587205,0.5748613860238548
C14orf93,-1.4442184,-1.8985411,0.14867754971587205,0.5748613860238548
TRIM39,-1.4445215,-0.39722592,0.1485923360027886,0.574664410154696
