names,scores,logfoldchanges,pvals,pvals_adj
YWHAZ,29.776093,3.2036994,7.969560411913043e-195,2.672831170947396e-190
UQCRB,28.787346,2.8583448,3.0891802958100025e-182,5.180246438043793e-178
COX6C,28.60173,2.3818326,6.393782557961385e-180,7.147822647630297e-176
MAL2,27.678247,3.5342686,1.276188924143091e-168,8.560164827582196e-165
SGK3,27.462751,3.5640705,4.8930787421674856e-166,2.735067914246886e-162
PFDN4,27.132998,3.5688899,4.019274325664206e-162,1.6849802791765766e-158
PDCD4,26.883743,3.2553666,3.4024867468794196e-159,1.1411260051684197e-155
ENY2,26.71958,3.16273,2.7879976535484593e-157,8.500351391337111e-154
RAD21,26.511683,3.1528106,7.108174728862699e-155,1.9866163671383102e-151
RPL30,26.459045,1.2707872,2.8712710186804392e-154,7.40743749419266e-151
SMS,26.454771,3.4490917,3.215556389818653e-154,7.703095014409855e-151
PPIA,26.429047,2.0322444,6.354643946291456e-154,1.420813657804819e-150
POLR2K,26.372807,3.1318233,2.8108179952757846e-153,5.891825870347453e-150
SUB1,26.31273,2.7812166,1.3713188311627105e-152,2.7053700564432342e-149
UGDH,26.307545,3.5335915,1.5720426108243718e-152,2.92906472676821e-149
SLC39A6,26.243313,3.1511126,8.521269093146816e-152,1.5041385412945156e-148
ELOC,26.190397,3.1050875,3.4186127595051616e-151,5.459687368013529e-148
UBE2V2,26.122444,3.3731785,2.027199738631439e-150,3.0903738561009634e-147
CD24,26.076694,3.51552,6.702481311840999e-150,9.773383401587974e-147
MGST1,26.054056,3.337016,1.2102467442178459e-149,1.6912189711490882e-146
GRB14,25.953966,3.6255589,1.6401847362831013e-148,2.1157121417485634e-145
TBCA,25.918665,2.937032,4.103261131985311e-148,5.096858216463828e-145
CALM2,25.706255,2.5535738,9.95029217634923e-146,1.1918317821800017e-142
MTFR1,25.692286,3.4500582,1.4256002714884417e-145,1.648682134661357e-142
ATP9A,25.619146,3.4327285,9.335639286461144e-145,1.0436622346311127e-141
RPL7,25.611668,1.953928,1.131052653567197e-144,1.2236530288818275e-141
EPCAM,25.609491,3.430534,1.1959975377504536e-144,1.2534801694085846e-141
MRPL13,25.525984,3.1378298,1.0148450696505021e-143,1.0313901195738952e-140
COPS5,25.463333,3.0935085,5.02500580030066e-143,4.956724839131869e-140
ATP6V1C1,25.415287,3.2635012,1.7091332004166832e-142,1.6377402650164206e-139
CDH1,25.324379,3.4757526,1.7216616355046733e-141,1.6039191092098815e-138
TMED2,25.249104,2.9387152,1.1585068973875341e-140,9.962565211431569e-138
TFPI2,25.20466,3.420533,3.561171858742278e-140,2.913038580451183e-137
RAB2A,25.12242,2.9809976,2.829853666546118e-139,2.2597055302053266e-136
ARFGEF1,25.105877,3.255394,4.290259318444468e-139,3.3462027214416414e-136
