Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Oxidative Phosphorylation,57/200,8.391113286926232e-13,4.195556643463116e-11,0,0,3.4854082924949066,96.91677218075488,GPI;SLC25A3;ACADVL;ECI1;MRPS11;MRPS12;TCIRG1;MRPL34;COX6A1;COX7C;PMPCA;ATP6V1G1;ATP6V0B;ATP6V0E1;ATP6AP1;ATP1B1;AFG3L2;HADHA;POR;NDUFS8;VDAC1;SLC25A5;SLC25A11;SLC25A6;NDUFB7;UQCRB;MGST3;NDUFB3;TIMM13;ATP5MC2;NDUFB2;ATP5MC3;UQCR11;COX7A2;UQCR10;COX5B;UQCRH;TIMM50;LDHB;LDHA;RHOT2;ATP5F1B;CYC1;NDUFV1;ATP5MF;ATP5ME;TIMM8B;ATP5PF;CYB5A;ATP5PD;NDUFA3;IDH2;UQCRQ;OGDH;ATP5PO;CYCS;ACO2
MSigDB_Hallmark_2020,p53 Pathway,56/200,2.9311866343590238e-12,7.327966585897559e-11,0,0,3.3986172596600537,90.25236733434242,APP;CDKN1A;BTG2;CSRNP2;STEAP3;CD81;ITGB4;SAT1;PIDD1;SEC61A1;GM2A;RPL36;KIF13B;RACK1;CTSF;IER5;HRAS;CTSD;IER3;RPS12;PHLDA3;DCXR;RHBDF2;TAP1;WRAP73;TRAF4;DDIT4;NINJ1;TRIB3;NUPR1;CEBPA;HDAC3;RPS27L;XPC;SLC3A2;TOB1;ZFP36L1;LDHB;SERTAD3;RXRA;IRAK1;RAB40C;PERP;EPS8L2;RALGDS;S100A10;IP6K2;HEXIM1;ST14;BAIAP2;BLCAP;SDC1;PLXNB2;COQ8A;MXD4;RAD9A
MSigDB_Hallmark_2020,Estrogen Response Early,52/200,3.399708230375906e-10,5.6661803839598435e-09,0,0,3.063845878278868,66.79846208742347,LAD1;SCARB1;B4GALT1;SLC2A1;HR;NADSYN1;CELSR1;CELSR2;TSKU;RAPGEFL1;FAM102A;CCND1;RRP12;CISH;ELOVL5;IGFBP4;KRT8;NCOR2;SLC7A5;MED24;ELF3;CLDN7;TFF3;IL6ST;CD44;CANT1;TMPRSS3;SEMA3B;TOB1;SLC7A2;THSD4;MUC1;STC2;P2RY2;FLNB;HES1;CA12;FARP1;XBP1;KDM4B;WFS1;ABCA3;TPBG;KRT19;MLPH;MYBBP1A;FASN;KRT15;UNC119;DHCR7;RAB17;TJP3
MSigDB_Hallmark_2020,Estrogen Response Late,49/200,9.175776683356053e-09,1.1469720854195067e-07,0,0,2.8250876509544214,52.28304622413849,SCARB1;MOCS2;NAB2;HR;CELSR2;CXCL14;RAPGEFL1;SLC2A8;FAM102A;CCND1;TRIM29;MDK;HMGCS2;CISH;ELOVL5;IGFBP4;DCXR;LSR;PRLR;NCOR2;SLC7A5;UGDH;TFF3;PKP3;IL6ST;CD44;LLGL2;TSTA3;TMPRSS3;SEMA3B;TOB1;PERP;FLNB;CA12;FARP1;XBP1;ST14;WFS1;ABCA3;TPBG;IDH2;ATP2B4;KRT19;GALE;TSPAN13;CPE;PLXNB1;DHCR7;TJP3
MSigDB_Hallmark_2020,Apical Junction,47/200,7.23010706628802e-08,7.230107066288019e-07,0,0,2.671435795996492,43.92488779178184,GRB7;COL16A1;B4GALT1;ITGB4;SRC;WNK4;INPPL1;PKD1;ACTB;ICAM1;MYL12B;ACTG1;THBS3;TIAL1;CNN2;MDK;TSPAN4;SYMPK;DHX16;SPEG;STX4;IKBKG;PCDH1;HRAS;MPZL1;CD99;TMEM8B;CD276;VASP;JUP;LAMB3;ITGA3;ACTN4;BAIAP2;CLDN4;ADAM15;ITGA10;CLDN7;TAOK2;ZYX;CERCAM;EVL;NECTIN4;CRAT;NECTIN2;FBN1;NECTIN1
MSigDB_Hallmark_2020,Glycolysis,46/200,1.948477537425297e-07,1.6237312811877477e-06,0,0,2.5962011556725213,40.114026943233085,TSTA3;PYGB;B4GALT1;CHPF;XYLT2;HDLBP;PLOD1;NOL3;CACNA1H;GYS1;LDHA;STC2;GPC1;STMN1;GMPPA;QSOX1;GPC4;PGLS;GUSB;SLC37A4;ANKZF1;IER3;IL13RA1;CYB5A;TPI1;CHPF2;B3GAT3;PGAM1;TPBG;SOD1;EFNA3;GALE;CLDN3;MED24;HAX1;ELF3;DDIT4;TFF3;SDC1;SLC25A10;RBCK1;AGRN;PAM;PPIA;B4GALT7;CD44
MSigDB_Hallmark_2020,Adipogenesis,42/200,7.76967017527998e-06,4.3164834307111e-05,0,0,2.305399071194029,27.123672138517147,SCARB1;SLC27A1;CD151;NDUFB7;MGST3;BAZ2A;ABCB8;UQCR11;UQCR10;SLC1A5;COX6A1;ADIPOR2;TOB1;ADCY6;C3;GPAT4;APOE;CYC1;SLC19A1;STAT5A;ESRRA;MIGA2;DGAT1;APLP2;VEGFB;ELMOD3;SOD1;SLC5A6;ACLY;POR;PFKL;UCK1;UQCRQ;CCNG2;ATP5PO;PEMT;SLC25A10;ESYT1;ACO2;REEP6;DHCR7;CRAT
MSigDB_Hallmark_2020,mTORC1 Signaling,42/200,7.76967017527998e-06,4.3164834307111e-05,0,0,2.305399071194029,27.123672138517147,GPI;CDKN1A;BTG2;TOMM40;TFRC;PSMD13;USO1;SLC2A1;ATP2A2;SLC1A5;ADIPOR2;STIP1;LDHA;PRDX1;SERPINH1;SLC37A4;YKT6;LDLR;MAP2K3;XBP1;TPI1;IGFBP5;ELOVL5;DHCR24;ACSL3;EIF2S2;SLC7A5;ACLY;PFKL;DDX39A;SCD;DDIT4;HMBS;CANX;TRIB3;CALR;NUPR1;DHCR7;SQSTM1;PPIA;GAPDH;LGMN
MSigDB_Hallmark_2020,Myc Targets V1,42/200,7.76967017527998e-06,4.3164834307111e-05,0,0,2.305399071194029,27.123672138517147,YWHAE;SLC25A3;MCM7;RPL34;RPLP0;HNRNPU;RPL6;EEF1B2;LDHA;TRIM28;SNRPD1;PSMB3;RUVBL2;PSMD3;RACK1;RPS3;RPL14;RPS2;CYC1;TXNL4A;CCT3;NOP56;SMARCC1;NPM1;PTGES3;RPS5;CNBP;RPL22;RPS6;DEK;EIF2S2;TUFM;LSM7;CANX;VDAC1;PRPF31;ERH;SSBP1;PPIA;SNRPA;RAN;EIF3B
MSigDB_Hallmark_2020,Cholesterol Homeostasis,21/74,1.4385560018866008e-05,7.192780009433004e-05,0,0,3.421572205393964,38.14808582491379,ABCA2;MVK;TNFRSF12A;CHKA;ANXA5;SEMA3B;CLU;LSS;SREBF2;ACTG1;LGALS3;SCD;ETHE1;FASN;CTNNB1;TRIB3;DHCR7;GUSB;LDLR;S100A11;LGMN
MSigDB_Hallmark_2020,Myogenesis,38/200,0.00019446355849779017,0.0008102648270741258,0,0,2.0299101311615533,17.346121564798604,EIF4A2;APP;HDAC5;VIPR1;CDKN1A;TAGLN;ITGB5;ITGB4;FLII;PSEN2;AEBP1;CLU;CACNA1H;SYNGR2;ERBB3;STC2;SPEG;APOD;IGFBP7;SPTAN1;MEF2D;EPHB3;SPDEF;SH2B1;ATP6AP1;TPM3;GAA;TPM2;TSC2;SIRT2;SMTN;PTP4A3;SLC6A8;MYO1C;SCD;PLXNB2;AGRN;CRAT
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,38/200,0.00019446355849779017,0.0008102648270741258,0,0,2.0299101311615533,17.346121564798604,TAGLN;COL16A1;SDC4;ITGB5;MCM7;COL11A1;COL12A1;TNC;PLOD3;PLOD1;SAT1;LOXL1;COMP;GPC1;SERPINH1;TIMP3;PMEPA1;QSOX1;TIMP1;COLGALT1;POSTN;TNFRSF12A;IGFBP4;LUM;TPM2;IGFBP2;FN1;GREM1;SLC6A8;COL5A2;MGP;COL8A2;SDC1;FMOD;PPIB;MXRA5;CD44;FBN1
