Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Glycolysis,15/200,0.0008618917170034813,0.0021547292925087,0,0,2.725571725571726,19.23267230274497,COPB2;CYB5A;HSPA5;PGAM1;TPBG;CXCR4;PLOD1;DCN;VCAN;COL5A1;STC2;TFF3;PGK1;SDC1;TGFBI
MSigDB_Hallmark_2020,mTORC1 Signaling,14/200,0.002416254442097,0.0054914873684022,0,0,2.525643190902437,15.218355710149488,ACTR3;ACTR2;IGFBP5;HSPA5;CXCR4;HSP90B1;CANX;SERPINH1;PGK1;CD9;NUPR1;DHCR7;LDLR;LGMN
MSigDB_Hallmark_2020,KRAS Signaling Up,14/200,0.002416254442097,0.0054914873684022,0,0,2.525643190902437,15.218355710149488,NRP1;FCER1G;LAPTM5;EMP1;CXCR4;INHBA;MMP11;ANO1;TSPAN13;GPNMB;PLAU;SPP1;SPARCL1;ITGBL1
MSigDB_Hallmark_2020,Hedgehog Signaling,5/36,0.0038028593365605,0.008267085514262,0,0,5.3713557255293205,29.929205050621896,NRP1;ADGRG1;DPYSL2;MYH9;THY1
MSigDB_Hallmark_2020,TGF-beta Signaling,6/54,0.0048725246330612,0.0101510929855443,0,0,4.166308089500861,22.182020346646876,SLC20A1;SERPINE1;ID3;LTBP2;THBS1;RHOA
MSigDB_Hallmark_2020,Mitotic Spindle,12/199,0.0147860683872742,0.0283830070141817,0,0,2.145659149035108,9.041957564203113,TOP2A;MARCKS;CAPZB;PALLD;PXN;MYH9;WASL;EZR;PDLIM5;ARL8A;CD2AP;ARF6
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,12/200,0.0153268237876581,0.0283830070141817,0,0,2.13413506012951,8.91673810214974,DUSP4;MARCKS;CCND1;PLAU;SERPINE1;OLR1;INHBA;PDLIM5;LDLR;SAT1;PHLDA1;EIF1
MSigDB_Hallmark_2020,p53 Pathway,12/200,0.0153268237876581,0.0283830070141817,0,0,2.13413506012951,8.91673810214974,LDHB;CEBPA;CD81;RACK1;SDC1;RPS27L;STOM;NUPR1;RPL18;CTSD;SAT1;TOB1
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,11/199,0.0333755078379497,0.0573766021116092,0,0,1.9528941341607564,6.639709107289376,CYFIP1;NRP1;MUC1;IFNGR1;CD81;S100A1;COL6A1;SPP1;EMP1;PHLDA1;IGF2R
MSigDB_Hallmark_2020,Inflammatory Response,11/200,0.0344259612669655,0.0573766021116092,0,0,1.9424603174603172,6.544040636323957,RNF144B;RGS1;TPBG;SERPINE1;OLR1;EMP3;INHBA;ITGA5;HIF1A;LDLR;CD55
MSigDB_Hallmark_2020,Xenobiotic Metabolism,11/200,0.0344259612669655,0.0573766021116092,0,0,1.9424603174603172,6.544040636323957,CYP27A1;NQO1;CYB5A;IGFBP4;SERPINE1;SSR3;BLVRB;TMBIM6;COMT;PDLIM5;FBP1
MSigDB_Hallmark_2020,Apical Surface,4/44,0.0395484008902403,0.0637877433713554,0,0,3.3229845626072043,10.734004484138213,LYPD3;THY1;GATA3;SULF2
MSigDB_Hallmark_2020,Reactive Oxygen Species Pathway,4/49,0.0551491592767821,0.0861705613699721,0,0,2.953001715265866,8.556953755898052,PRDX2;NQO1;PRDX4;FTL
MSigDB_Hallmark_2020,Notch Signaling,3/32,0.0665618790029234,0.1008513318226112,0,0,3.433632498819084,9.303850459873653,LFNG;FZD1;CCND1
MSigDB_Hallmark_2020,heme Metabolism,10/200,0.0712661436288267,0.1048031523953335,0,0,1.7534434005290522,4.631429510017085,CAST;PRDX2;BNIP3L;MGST3;LAMP2;ACP5;BLVRB;RAD23A;TOP1;CTSB
MSigDB_Hallmark_2020,IL-6/JAK/STAT3 Signaling,5/87,0.1126411826325483,0.160380182356084,0,0,2.02529125806722,4.42232044793027,TNFRSF12A;IFNGR1;CD9;PTPN11;A2M
MSigDB_Hallmark_2020,Unfolded Protein Response,6/113,0.1154737312963804,0.160380182356084,0,0,1.8633036820177908,4.022336408472853,HSPA5;STC2;ALDH18A1;YWHAZ;HSP90B1;HERPUD1
MSigDB_Hallmark_2020,G2-M Checkpoint,8/200,0.2352401581289177,0.3178921055796185,0,0,1.383203799654577,2.001701078662384,TOP2A;SLC12A2;JPT1;MARCKS;CCND1;TOP1;HIF1A;RAD23B
MSigDB_Hallmark_2020,Pperoxisome,4/104,0.364678099312161,0.4773946624276627,0,0,1.3250771869639797,1.3366586719274545,TOP2A;SCP2;CRABP2;YWHAH
MSigDB_Hallmark_2020,Interferon Gamma Response,7/200,0.3723678366935769,0.4773946624276627,0,0,1.2018938717169911,1.187318630863632,HLA-DMA;PSMB2;C1S;HLA-A;B2M;HIF1A;HLA-DQA1
MSigDB_Hallmark_2020,DNA Repair,5/150,0.4507117679075637,0.5633897098844547,0,0,1.1416044555042066,0.9097756871394568,CANT1;GUK1;DAD1;COX17;TMED2
MSigDB_Hallmark_2020,Interferon Alpha Response,3/97,0.5451042119520154,0.6647612340878236,0,0,1.0557599825123871,0.6406122347353975,C1S;HLA-C;B2M
MSigDB_Hallmark_2020,Bile Acid Metabolism,3/112,0.6425886834779748,0.76498652794997,0,0,0.909764986804072,0.4023439684203035,CYP27A1;ABCA2;SCP2
MSigDB_Hallmark_2020,Fatty Acid Metabolism,4/158,0.685299532575748,0.7916073794102978,0,0,0.8580339043460827,0.3242503796206711,LGALS1;SERINC1;BMPR1B;YWHAH
MSigDB_Hallmark_2020,Pancreas Beta Cells,1/40,0.696614493881062,0.7916073794102978,0,0,0.8477290627461276,0.3064736511531927,SRP14
MSigDB_Hallmark_2020,Wnt-beta Catenin Signaling,1/42,0.7141968733038612,0.7935520814487347,0,0,0.8062931823857488,0.2713955613160335,FZD1
MSigDB_Hallmark_2020,Myc Targets V2,1/58,0.8227649572628026,0.881694080561022,0,0,0.5794862583078858,0.1130489096521569,FARSA
MSigDB_Hallmark_2020,KRAS Signaling Dn,4/200,0.8422155124850834,0.881694080561022,0,0,0.6726992683865999,0.1155154773591866,LFNG;IGFBP2;LYPD3;BMPR1B
MSigDB_Hallmark_2020,UV Response Up,3/158,0.8464263173385811,0.881694080561022,0,0,0.6382456915598763,0.1064160604881454,IGFBP2;PPT1;TMBIM6
MSigDB_Hallmark_2020,E2F Targets,3/200,0.9356576695712708,0.954752724052317,0,0,0.5010778110006259,0.0333244839950704,TOP2A;JPT1;PRDX4
MSigDB_Hallmark_2020,Spermatogenesis,1/135,0.9823174525663578,0.9823174525663578,0,0,0.2455172940756966,0.0043802130119643,SLC12A2
