names,scores,logfoldchanges,pvals,pvals_adj
TBC1D2B,1.9123901,0.5842626,0.055826181659748265,1.0
SELENOT,1.91234,0.22469032,0.055832592035498035,1.0
CHST11,1.91219,1.1351651,0.05585182684168172,1.0
SPSB2,1.9118899,0.23534785,0.05589031301308907,1.0
GDI2,1.91184,0.21110366,0.05589672952202963,1.0
GSTO1,1.9114898,0.2082055,0.05594166226649674,1.0
ELL2,1.9096894,0.52583706,0.05617322039258061,1.0
ITPA,1.9090892,0.13496903,0.056250583567758715,1.0
NAXD,1.9086891,0.297083,0.05630220828523231,1.0
MAT2B,1.9080889,0.37770692,0.05637971931709829,1.0
QARS,1.907939,0.17500208,0.056399110949113034,1.0
GLT8D1,1.9076889,0.40829352,0.056431442673983624,1.0
JTB,1.9058384,0.26760033,0.05667117727401138,1.0
TIMMDC1,1.9053882,0.18184005,0.056729619078715154,1.0
P4HA3,1.9047381,1.1190444,0.05681412355245159,1.0
B3GALNT1,1.9040879,0.39174005,0.0568987327411066,1.0
JMJD6,1.9033377,0.3193329,0.05699648896987534,1.0
UTP18,1.9028876,0.48416644,0.057055209745640365,1.0
RNASET2,1.9026875,0.33021805,0.05708132401748415,1.0
ALOX5,1.9007871,0.51723075,0.057329905839354274,1.0
ZNF24,1.8999369,0.24850523,0.057441404606838976,1.0
CCL3,1.8993367,0.953904,0.05752021813472089,1.0
VAMP3,1.8991367,0.31940305,0.05754650928264593,1.0
MAST2,1.8990366,0.26149973,0.05755965860289478,1.0
TNKS2,1.8989366,0.56286097,0.057572810421125,1.0
FRZB,1.8974363,1.1219549,0.05777038768557545,1.0
RCC1L,1.8966861,0.15271944,0.05786938747572338,1.0
SLC44A1,1.8961359,0.24316923,0.05794207690473566,1.0
IQCE,1.8954858,0.4083161,0.05802808040740295,1.0
FEN1,1.8952357,0.38195905,0.05806118691186114,1.0
ARHGEF16,1.8931351,0.21606992,0.05833990166712248,1.0
RCSD1,1.892435,1.3881042,0.05843305321587551,1.0
IMMP1L,1.8913847,0.38058582,0.058573012160324935,1.0
CEMIP2,1.8912847,1.058791,0.05858635609183039,1.0
F2R,1.8908346,0.42747676,0.058646435030534357,1.0
SLC37A3,1.8900844,0.63516885,0.05874668028734501,1.0
PSMB6,1.8896343,0.14388482,0.05880689570792699,1.0
APEX1,1.8892841,0.16078879,0.058853765346279396,1.0
TMX3,1.8892342,0.48147103,0.05886046354004419,1.0
GMEB2,1.8881838,0.5808089,0.059001271878745,1.0
CD37,1.8876337,0.39714903,0.059075140154484354,1.0
HMGB1,1.8875837,0.23269852,0.05908185925717446,1.0
KIAA2013,1.8864334,0.2901001,0.05923657378295888,1.0
SRP68,1.8853332,0.2547738,0.059384876069961116,1.0
ISCA1,1.8850831,0.26646277,0.05941862406727888,1.0
ARFIP2,1.8849831,0.1762699,0.05943212772134004,1.0
TSPAN14,1.884933,0.2539063,0.05943888050321473,1.0
TGOLN2,1.8842828,0.24467398,0.05952672461572307,1.0
RANGAP1,1.8842329,0.110759735,0.05953348631420537,1.0
FAM120A,1.8840328,0.19827291,0.05956053948080618,1.0
WRNIP1,1.8830326,0.3956177,0.059695958344212596,1.0
PLPP4,1.8822323,1.5482723,0.05980447723711868,1.0
FAM174B,1.8821824,0.2970761,0.059811265097166985,1.0
NBR1,1.8812821,0.27183998,0.059933555887731665,1.0
DDX23,1.881032,0.21385898,0.059967562327824214,1.0
MAFK,1.880932,0.31648803,0.05998116938346432,1.0
MINDY1,1.880782,0.2993568,0.06000158476757905,1.0
AP2M1,1.8800818,0.1706327,0.06009693276305637,1.0
DNAJC14,1.8798817,0.41818628,0.06012419811135604,1.0
AIMP1,1.8798317,0.24342568,0.06013101605077326,1.0
FAM98A,1.8793817,0.5281352,0.060192406356763525,1.0
RIPK3,1.8792316,0.58408475,0.06021288133595867,1.0
CORO1C,1.8788815,0.52587664,0.06026067874339885,1.0
HEG1,1.877231,0.6410167,0.06048643324315707,1.0
CYTH1,1.877181,0.28921446,0.06049328521637724,1.0
NEU1,1.8758807,0.16747048,0.0606716624501232,1.0
CYB5B,1.8751805,0.42412856,0.060767892124491005,1.0
RABGAP1L,1.8750305,0.6399216,0.060788529213616445,1.0
NDUFAF4,1.8746804,0.30676863,0.060836705004741316,1.0
CTNNB1,1.8738801,0.17764145,0.06094693989071523,1.0
GNA11,1.87333,0.2238382,0.06102282232057702,1.0
PECAM1,1.8727299,0.2621534,0.06110569239257338,1.0
COG7,1.8721298,0.33632728,0.061188655656752376,1.0
SEC16A,1.8713795,0.20654981,0.06129249090256607,1.0
MRPL57,1.8695291,0.20135704,0.0615492418494561,1.0
ATG3,1.869229,0.2904757,0.06159096092293957,1.0
CTSS,1.8688289,0.20676017,0.0616466227672436,1.0
STEAP2,1.8686788,0.36676905,0.06166750669174281,1.0
TRIM32,1.8667283,0.57080185,0.06193953104405883,1.0
MINOS1,1.865478,0.1761853,0.06211442736558686,1.0
SEC23B,1.8645278,0.22516367,0.06224762167967346,1.0
GABRD,1.8639276,1.340372,0.06233186608251976,1.0
EBLN3P,1.8635776,0.2602462,0.06238105219067147,1.0
MRPL27,1.8632774,0.17174122,0.06242323726070718,1.0
ZNF862,1.8630275,0.38258335,0.06245840950806422,1.0
NMD3,1.8626273,0.42251062,0.06251471919673865,1.0
CAMTA1,1.8607268,0.21077073,0.06278276388721571,1.0
DTYMK,1.8607268,0.1913264,0.06278276388721571,1.0
SORL1,1.8603767,0.46916842,0.06283224404039632,1.0
RWDD1,1.8591264,0.24683107,0.06300922213568795,1.0
COMMD5,1.8589264,0.14280333,0.063037576834298,1.0
CYB561,1.8583262,0.20317508,0.06312270422041086,1.0
ATXN10,1.8578261,0.2315833,0.06319371627047496,1.0
NDUFS1,1.8568258,0.27695343,0.06333593844893715,1.0
SLC25A28,1.8560756,0.24554509,0.06344277857289357,1.0
ARPP19,1.8554255,0.30629596,0.06353549376038035,1.0
DIP2B,1.8542752,0.4560902,0.0636998025370739,1.0
