names,scores,logfoldchanges,pvals,pvals_adj
RPL19,26.037281,0.69119686,1.8745511147737617e-149,6.286869528728242e-145
IGFBP5,25.739683,1.5012797,4.2056569716982415e-146,7.05246617584078e-142
MT-ATP6,22.690746,0.7364294,5.529116986410084e-114,6.181184183007381e-110
PPIA,22.489965,0.99713844,5.203958346696675e-112,4.363258875787827e-108
MT-CO3,21.789242,0.6309248,2.934665628709194e-105,1.968456317112979e-101
MT-CO2,20.939934,0.6615111,2.317850378639602e-97,1.2956010999802497e-93
AGR3,20.874582,1.40588,9.116209952667382e-97,4.367706419893695e-93
COX6C,20.816948,1.0438046,3.039428779130264e-96,1.2742045299308849e-92
RPL23,19.963549,0.86254585,1.142990369008927e-88,4.2592901106468213e-85
CEACAM6,19.801098,1.3462178,2.9128103682826996e-87,9.06264460712492e-84
DBI,19.796795,1.1481681,3.1724793373135946e-87,9.06264460712492e-84
SCGB1D2,19.795692,0.9198425,3.2426422352405936e-87,9.06264460712492e-84
MT-CYB,19.55509,0.63283116,3.73346232672377e-85,9.631758424127831e-82
RPS4X,19.146454,0.6877133,1.036078433806385e-81,2.48199989378561e-78
PIP,18.871397,1.4724181,1.960456792612491e-79,4.3833199940425146e-76
SCGB2A2,18.697426,0.9811572,5.195352780399369e-78,1.0890108846814628e-74
EEF1A1,18.689959,0.51812506,5.975932914716164e-78,1.1789461064338275e-74
CD24,18.190762,1.2378321,6.1084605812954986e-74,1.0243277548774422e-70
GLUL,18.07944,1.0304047,4.627683756370082e-73,7.390631324816182e-70
MT-ND3,18.008718,0.7843866,1.6643500725005313e-72,2.4269118578922967e-69
HSPE1,17.987885,1.066609,2.424407373772379e-72,3.3879072708990853e-69
HSPB8,17.919369,1.3393803,8.326752668856984e-72,1.117050524032502e-68
STC2,17.901272,1.3243407,1.1526080962051202e-71,1.4867757819433585e-68
TFF1,17.108032,1.0699714,1.2929332579053938e-65,1.6060146519863368e-62
CSTB,16.91966,0.8473207,3.2228179587536394e-64,3.860245310738556e-61
HSP90AB1,16.798595,0.75420976,2.498937460259734e-63,2.7035278884577734e-60
TXN,16.695875,0.9909787,1.4044338686121435e-62,1.4719344714223145e-59
MGP,16.540428,0.5689007,1.876842421594753e-61,1.9074406404680252e-58
SNHG8,16.485247,1.0611279,4.683832774387882e-61,4.620187752571199e-58
BTF3,16.156147,0.84559023,1.0278975121699333e-58,9.849607646615778e-56
RPS24,16.103453,0.62389535,2.4125498741544685e-58,2.219736782032756e-55
DYNLL1,16.10253,0.93323284,2.4488717554777256e-58,2.219736782032756e-55
ACTG1,16.100218,0.5930269,2.5420774590799783e-58,2.243584047963798e-55
H3F3A,16.059755,1.0204989,4.884690858134749e-58,4.0955690500030804e-55
MYL12B,15.879668,0.9223671,8.764043683107342e-57,6.835546442884978e-54
DSTN,15.732434,1.0008202,9.065805783284339e-56,6.756644319106448e-53
COA4,15.528524,0.93374234,2.224395813238853e-54,1.621777973574014e-51
AGR2,15.436507,1.1926003,9.300202299001389e-54,6.6363869085938e-51
MPC2,15.412258,1.0364363,1.3539572205511258e-53,9.267146380172175e-51
UFC1,15.376987,1.0251426,2.335638210077899e-53,1.5666526857918513e-50
MGST1,15.372828,1.0892724,2.4905725995311924e-53,1.6378200753544536e-50
KRT23,15.241664,1.128397,1.870444617178344e-52,1.206364837902448e-49
TPD52L1,15.236366,1.0824283,2.028411944644003e-52,1.2835637698013317e-49
SNRPE,15.214038,1.0393643,2.8538435094686053e-52,1.77244821519552e-49
XBP1,15.172793,0.9261535,5.354822702844926e-52,3.2652735237820565e-49
RPL6,15.107763,0.63194764,1.4394380970464466e-51,8.620691946204238e-49
COX7C,15.084687,0.8336482,2.0423874559989308e-51,1.180992939642968e-48
TBCA,15.076225,0.96955043,2.3216751547010143e-51,1.3197345989552986e-48
RPS7,14.9902525,0.5638971,8.502892208431271e-51,4.7528333147727996e-48
MT-CO1,14.974111,0.3988514,1.0840816325159222e-50,5.960316359232623e-48
SRP9,14.886041,1.0555536,4.0612014650689075e-50,2.1968479796045327e-47
HSP90AA1,14.858769,0.92924094,6.103609292556239e-50,3.2492515627579545e-47
MT-ND4,14.799677,0.46719745,1.4718885955740862e-49,7.713156205994328e-47
TACSTD2,14.746877,1.0639195,3.222351938258533e-49,1.662634450850995e-46
CKS2,14.646077,1.2031945,1.427203542369485e-48,7.144112299102654e-46
SDHC,14.623465,1.0190715,1.990103248016244e-48,9.815306284113057e-46
HSPD1,14.512852,1.001294,1.00455518410256e-47,4.812967394918808e-45
COA3,14.506879,0.8829018,1.0959530032657574e-47,5.1769115244404185e-45
PRDX1,14.500656,0.8094892,1.1999673155613933e-47,5.5895144207358346e-45
ATP5F1E,14.466914,0.67296565,1.9607238758864297e-47,9.008048951983436e-45
RPS3A,14.463537,0.5513747,2.0593800923624913e-47,9.333444532115302e-45
RPL7,14.424924,0.6493817,3.6066845933927364e-47,1.612813171909408e-44
EIF1,14.378098,0.6168803,7.102022010527284e-47,3.134047555119264e-44
PPA1,14.309013,0.97894657,1.9222075335211454e-46,8.372337176523659e-44
CLNS1A,14.2707205,1.0261855,3.3311945281583845e-46,1.4323282318637934e-43
GOLM1,14.259592,0.9865189,3.90734363043448e-46,1.6587910212343239e-43
NDUFA4,14.242916,0.7430514,4.961273320303042e-46,2.079889807704043e-43
GLRX,14.193743,1.0022336,1.0016611972162685e-45,4.14737200398015e-43
BRK1,14.187947,0.8927806,1.0879633682797718e-45,4.449770176264267e-43
S100A14,14.145459,0.59465134,1.992122200651087e-45,8.049613778968212e-43
TMEM14C,14.082633,0.9357639,4.8566072089253784e-45,1.9390582449159447e-42
LDHA,14.081282,0.8877006,4.9503646364162996e-45,1.9532391667779984e-42
ATP5MC3,14.079469,0.8781108,5.0790334475782345e-45,1.980704927498591e-42
TMEM99,13.991789,0.9871964,1.7495449421562625e-44,6.744395203452498e-42
NDUFB3,13.946385,0.95627975,3.3096004682819506e-44,1.261333869377728e-41
ABRACL,13.939523,1.0109979,3.6436780932418024e-44,1.3730525381027366e-41
C1orf43,13.908377,0.99640507,5.634393000008541e-44,2.0996252492698494e-41
ZSWIM7,13.890492,1.1500648,7.233658590721606e-44,2.6659608990727603e-41
RPL9,13.8318615,0.50023025,1.6372809656086994e-43,5.904422475761781e-41
DYNLT1,13.772449,0.9290702,3.733415188815196e-43,1.3320348787498304e-40
SPINT2,13.741159,0.8288296,5.7546390397441865e-43,2.0315693064730582e-40
APP,13.7354355,0.9413321,6.228043431958989e-43,2.1757929231358396e-40
OAT,13.734191,1.0278046,6.33597672360265e-43,2.190680282022533e-40
SUMO1,13.604663,0.9690456,3.7569535563798197e-42,1.2600070837386639e-39
SKP1,13.589161,0.8660159,4.643727085521313e-42,1.5419932573684536e-39
SOD1,13.582405,0.8434635,5.092598066316852e-42,1.6744662151777902e-39
RPL14,13.57533,0.5097692,5.6090479921868013e-42,1.8263713743879704e-39
H2AFZ,13.526299,0.93763953,1.0939361958543271e-41,3.4941363939583264e-39
MT-ND2,13.466068,0.49937817,2.477082791766366e-41,7.837396478326452e-39
COX20,13.46205,1.0358515,2.61554364819563e-41,8.198140455437855e-39
ATP5F1B,13.432896,0.8389221,3.8794071868151665e-41,1.2046996132537688e-38
SCCPDH,13.427491,0.97835106,4.1731143865865243e-41,1.284017525663659e-38
CACYBP,13.357448,0.9878713,1.0717704952539562e-40,3.2382917900745207e-38
LSM3,13.317234,0.9756707,1.8379098469828744e-40,5.503555397152825e-38
NDUFC2,13.283066,0.8380248,2.9026314369949313e-40,8.614907356985488e-38
RHOB,13.234106,0.89777625,5.5756285474173454e-40,1.626047219332895e-37
