Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Oxidative Phosphorylation,47/200,7.609161551546811e-18,3.8045807757734064e-16,0,0,5.524404840235871,217.7564527174256,ACADVL;OAT;ALAS1;NDUFB7;NDUFB5;NDUFB3;NDUFB2;NDUFB1;UQCR11;ETFA;PDHB;MRPL34;COX5B;COX6A1;COX7C;UQCRH;TOMM22;TIMM17A;CYC1;ATP6V1E1;ACAA1;DECR1;ATP6V1F;ATP5ME;IDH3A;COX8A;HSPA9;PDHX;ATP6V1G1;CPT1A;ATP6V0B;PDHA1;MDH1;GPX4;MTX2;IDH1;IMMT;SDHD;COX6C;GLUD1;NDUFS8;UQCRQ;NDUFS6;ATP5PO;SUCLG1;VDAC1;UQCRC2
MSigDB_Hallmark_2020,Myc Targets V1,45/200,2.250924695247348e-16,5.6273117381183695e-15,0,0,5.2105263157894735,187.7353693507673,PRPS2;SET;PCNA;HSP90AB1;RPL34;GLO1;SRSF1;CUL1;HNRNPU;NOLC1;PHB;RPL6;HSPD1;PSMD7;SNRPD2;TRIM28;YWHAQ;SNRPD1;PSMB3;PSMD3;G3BP1;RPL14;SNRPB2;CYC1;KPNA2;EIF4E;SSB;VBP1;NCBP2;PABPC4;RPL22;IFRD1;RPS6;UBE2E1;NAP1L1;DEK;PSMA6;PSMA2;TCP1;HNRNPA2B1;SERBP1;EIF3J;UBA2;VDAC1;ERH
MSigDB_Hallmark_2020,mTORC1 Signaling,41/200,1.3843269203906544e-13,2.307211533984424e-12,0,0,4.609307456637349,136.47418278732616,PSMD12;FKBP2;TES;PSMD13;PIK3R3;GLRX;ENO1;UNG;HSPD1;SLC9A3R1;PNP;SSR1;LTA4H;SEC11A;PSPH;HSPA9;ACTR3;XBP1;TPI1;NFYC;IDH1;IFRD1;RPA1;IMMT;CACYBP;GTF2H1;SYTL2;CCT6A;ACLY;PSMA3;UFM1;MTHFD2;SCD;PSMC2;BHLHE40;PSMG1;NUPR1;DHCR7;EEF1E1;SQSTM1;GAPDH
MSigDB_Hallmark_2020,Adipogenesis,36/200,2.1040828734955727e-10,2.6301035918694653e-09,0,0,3.904151432406165,86.99218996196826,PPP1R15B;CD151;PFKFB3;NDUFB7;UQCR11;GHITM;COX6A1;TANK;C3;SCP2;ALDH2;UBC;UBQLN1;SNCG;DNAJB9;APOE;CYC1;DRAM2;DECR1;IDH3A;COX8A;DGAT1;GPX4;IFNGR1;IDH1;TALDO1;IMMT;ACLY;DHRS7;UQCRQ;CCNG2;CAT;ATP5PO;CMPK1;SUCLG1;DHCR7
MSigDB_Hallmark_2020,DNA Repair,30/150,4.883630014111062e-10,4.883630014111062e-09,0,0,4.431603773584905,95.01341708635633,GTF2A2;RALA;TSG101;PCNA;ARL6IP1;GMPR2;TAF9;DGUOK;SEC61A1;PNP;GUK1;POLR2E;NELFCD;STX3;BCAP31;GPX4;NCBP2;ADRM1;NME3;RPA2;EDF1;GTF2H1;GTF2H3;APRT;NT5C3A;NUDT21;RPA3;POLR1D;EIF1B;VPS28
MSigDB_Hallmark_2020,Apoptosis,29/161,1.1707549894619364e-08,9.75629157884947e-08,0,0,3.888284351526576,71.01186119919339,APP;SLC20A1;HSPB1;CLU;CCND1;CASP3;CASP4;LMNA;ERBB2;CASP1;TSPO;TIMP1;DNM1L;BCAP31;JUN;TNFRSF12A;GPX4;IFNGR1;LUM;BGN;CFLAR;SOD2;DNAJC3;CYLD;KRT18;PPT1;SQSTM1;DAP3;BIRC3
MSigDB_Hallmark_2020,Protein Secretion,18/96,3.756338750891625e-06,2.6830991077797323e-05,0,0,4.053960964408725,50.64234716430849,NAPA;STX12;MON2;TSG101;DST;STX16;COPB1;VPS4B;ADAM10;SNX2;KRT18;RAB14;PPT1;MAPK1;RAB9A;DNM1L;RAB5A;SEC31A
MSigDB_Hallmark_2020,Unfolded Protein Response,19/113,1.075034255934438e-05,6.718964099590238e-05,0,0,3.55110554860242,40.62668203901279,HSPA9;XBP1;POP4;CEBPG;LSM1;NOLC1;ARFGAP1;DNAJC3;SPCS3;EXOSC4;MTHFD2;SSR1;DNAJB9;MTREX;EIF4E;SEC11A;SEC31A;EIF4G1;PAIP1
MSigDB_Hallmark_2020,Interferon Gamma Response,27/200,1.2508871823940792e-05,6.949373235522663e-05,0,0,2.750961125400356,31.055799367849836,OGFR;LGALS3BP;BTG1;SAMHD1;MT2A;PNP;CASP3;CASP4;CASP1;B2M;CD74;NCOA3;MX1;HLA-B;ISG15;PARP14;SOD2;BST2;NFKBIA;PLSCR1;PSMA3;MTHFD2;PSMA2;IRF2;LCP2;MYD88;LY6E
MSigDB_Hallmark_2020,Estrogen Response Late,26/200,3.495205092677457e-05,0.00017476025463387284,0,0,2.631233255552675,27.00048795942883,TSTA3;MOCS2;SEMA3B;AFF1;SCUBE2;SLC9A3R1;CCND1;MDK;JAK1;XBP1;ST14;IGFBP4;DCXR;ATP2B4;COX6C;DHRS2;KRT19;TSPAN13;FABP5;TFF3;BLVRB;TFF1;DHCR7;SGK1;FKBP4;S100A9
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,25/200,9.361326040580762e-05,0.0004255148200263984,0,0,2.51307847082495,23.312166606393586,TAGLN;COPA;SDC4;LRP1;THY1;LGALS1;TIMP1;JUN;POSTN;TNFRSF12A;DST;IGFBP4;LUM;FUCA1;ITGA2;IGFBP2;FN1;BGN;COL1A1;COL3A1;COL1A2;COL6A2;MGP;SDC1;PPIB
MSigDB_Hallmark_2020,G2-M Checkpoint,24/200,0.00024005954751967143,0.0008573555268559695,0,0,2.3964693842742624,19.973670168781293,SS18;SMAD3;NUMA1;YTHDC1;SRSF1;CUL1;HNRNPU;NOLC1;RPA2;HMGB3;SMC1A;MT2A;CCND1;SNRPD1;EWSR1;G3BP1;CKS2;MCM3;NUP98;TOP1;KPNA2;HMGN2;SRSF10;PAFAH1B1
MSigDB_Hallmark_2020,Estrogen Response Early,24/200,0.00024005954751967143,0.0008573555268559695,0,0,2.3964693842742624,19.973670168781293,KLF10;SVIL;XBP1;MAST4;IGFBP4;SEMA3B;KRT8;DHRS2;AFF1;UGCG;SLC9A3R1;KRT19;ABLIM1;KRT18;CCND1;ELF3;KRT15;BHLHE40;TFF3;SLC39A6;BLVRB;TFF1;DHCR7;FKBP4
MSigDB_Hallmark_2020,E2F Targets,24/200,0.00024005954751967143,0.0008573555268559695,0,0,2.3964693842742624,19.973670168781293,NUP107;PCNA;CBX5;CSE1L;SRSF1;RPA1;NOLC1;RPA2;HMGB3;NAP1L1;DEK;SMC1A;IPO7;UNG;PNN;NUDT21;PHF5A;MTHFD2;RPA3;CKS2;MCM3;NAA38;RBBP7;KPNA2
MSigDB_Hallmark_2020,PI3K/AKT/mTOR  Signaling,15/105,0.0005597107767415591,0.0018657025891385,0,0,2.9178294573643413,21.848970683623115,ACTR3;DUSP3;CAB39;PIK3R3;PTPN11;ARPC3;ARHGDIA;MKNK1;UBE2N;MAPK1;RAF1;SQSTM1;EIF4E;MYD88;NCK1
MSigDB_Hallmark_2020,Interferon Alpha Response,14/97,0.0007615305607097135,0.0023797830022178,0,0,2.951336946298204,21.19113126524987,LGALS3BP;OGFR;CD74;MX1;ISG15;PARP14;PARP9;BST2;PLSCR1;PSMA3;IRF2;CASP1;B2M;LY6E
MSigDB_Hallmark_2020,UV Response Up,19/158,0.000998824528854158,0.0029377192025122,0,0,2.39572375712875,16.551891190861724,ALAS1;BTG1;DGAT1;IGFBP2;CEBPG;HNRNPU;SOD2;NFKBIA;NXF1;PPP1R2;EIF2S3;CASP3;CREG1;PPT1;ACAA1;FKBP4;SQSTM1;ATP6V1F;GRINA
MSigDB_Hallmark_2020,Complement,22/200,0.0013788968857617,0.003830269127116,0,0,2.16778184572655,14.278033253211175,DUSP5;USP14;USP15;APOBEC3G;LRP1;FN1;CLU;C3;PLSCR1;CASP3;CASP4;IRF2;S100A13;CASP1;LCP2;LTA4H;TIMP1;CALM1;RAF1;CTSD;S100A9;SH2B3
